GKEY,TRUCK_ENTERED,EDATE,PHOUR,EXITED,PICK_YARD_POS,PICK_ROW_NBR,tv_trans_count,DROP_POS_ID,DROP_POS,DIST,DROP_ROW_NBR,DROP_POS_ID_FLD,DROP_POS_FLD,DIST_FLD,DROP_ROW_NBR_FLD,TT_MIN,TGT_TT,ROW_Feature,RTG,HAD_TROUBLE,TRK_IN_BTW,TRK_OPP,TOT,TRK_IN_ROW,TIER,AVG_30_MIN,RTG_Count
11510802,17-JAN-19 10:30:00,2019-01-17,11,17-JAN-19 11:54:34,183,L,2,381F2.B,381,262,F,381F3.C,381,272,F,18,1,9,RTG23,0,2,7,9,29,2,30.42857143,2
11510401,17-JAN-19 09:29:03,2019-01-17,9,17-JAN-19 10:54:23,272,I,2,430M8.B,430,302,M,430M10.B,430,312,M,8,1,6,RTG16,0,3,1,4,32,3,30.13333333,5
11510595,17-JAN-19 09:58:50,2019-01-17,10,17-JAN-19 10:31:15,268,I,2,122B4.D,122,606,B,122B4.C,122,616,B,8,1,16,RTG14,0,2,3,5,34,2,26.05263158,5
11510606,17-JAN-19 10:00:59,2019-01-17,10,17-JAN-19 10:54:37,122,L,2,426E3.B,426,156,E,426E3.C,426,166,E,8,1,10,RTG9,0,4,1,5,39,2,39.57142857,4
11510817,17-JAN-19 10:32:15,2019-01-17,11,17-JAN-19 11:41:57,164,L,2,122B1.B,122,502,B,122B2.B,122,512,B,19,1,13,RTG23,0,4,6,10,31,1,31,2
11510736,17-JAN-19 10:20:04,2019-01-17,10,17-JAN-19 10:49:20,364,K,2,260M8.E,260,564,M,260M9.D,260,574,M,9,1,4,RTG20,0,6,5,11,32,1,50.73076923,4
11511726,17-JAN-19 13:02:38,2019-01-17,13,17-JAN-19 13:31:19,157,I,2,255B3.A,255,362,B,255B4.D,255,372,B,9,1,16,RTG6,0,13,9,22,66,1,38,2
11511977,17-JAN-19 13:41:22,2019-01-17,14,17-JAN-19 14:34:48,159,I,2,105D2.D,105,514,D,105D2.D,105,524,D,9,1,14,RTG6,0,6,12,18,52,1,47.69565217,4
11509837,17-JAN-19 07:53:54,2019-01-17,8,17-JAN-19 08:44:02,410,L,2,356B4.D,356,514,B,356B4.C,356,524,B,10,1,13,RTG9,0,4,6,10,31,1,27.83333333,2
11510527,17-JAN-19 09:47:31,2019-01-17,10,17-JAN-19 10:28:32,360,I,2,260M6.B,260,560,M,260M6.D,260,570,M,10,1,6,RTG16,0,7,2,9,33,2,33.2,5
11510617,17-JAN-19 10:02:04,2019-01-17,10,17-JAN-19 11:15:36,134,I,2,430M6.A,430,164,M,430M9.C,430,174,M,10,1,6,RTG14,0,2,4,6,34,1,24.94736842,5
11510775,17-JAN-19 10:25:29,2019-01-17,10,17-JAN-19 12:03:33,425,K,2,383A4.C,383,502,A,383A4.C,383,512,A,10,1,15,RTG20,0,1,11,12,35,1,47.39130435,4
11510170,17-JAN-19 08:48:07,2019-01-17,9,17-JAN-19 09:40:32,418,I,2,260M2.C,260,618,M,260M2.B,260,628,M,11,1,6,RTG7,0,0,2,2,37,1,28.375,5
11510398,17-JAN-19 09:28:35,2019-01-17,9,17-JAN-19 10:01:55,171,L,2,451E6.B,451,180,E,451E7.B,451,190,E,11,1,10,RTG9,0,1,6,7,41,2,52.76470588,4
11510476,17-JAN-19 09:39:57,2019-01-17,10,17-JAN-19 11:07:00,238,K,2,430M8.E,430,268,M,430M9.A,430,278,M,11,1,4,RTG20,0,9,4,13,51,1,28.88888889,4
11510485,17-JAN-19 09:41:35,2019-01-17,10,17-JAN-19 10:13:37,329,I,2,333F4.D,333,456,F,333F4.D,333,466,F,11,1,12,RTG16,0,0,7,7,35,1,30.8125,5
11510626,17-JAN-19 10:03:49,2019-01-17,10,17-JAN-19 10:42:43,264,I,2,260M8.C,260,464,M,260M8.B,260,474,M,11,1,6,RTG16,0,3,4,7,33,1,25.40909091,5
11510651,17-JAN-19 10:07:13,2019-01-17,10,17-JAN-19 10:46:17,272,I,2,260M8.D,260,472,M,260M8.D,260,482,M,11,1,6,RTG16,0,4,3,7,32,2,25.22727273,5
11510664,17-JAN-19 10:08:47,2019-01-17,10,17-JAN-19 11:32:59,122,K,2,472C2.D,472,110,C,472C2.C,472,120,C,11,1,13,RTG5,0,0,12,12,35,3,51.72,4
11510687,17-JAN-19 10:11:33,2019-01-17,10,17-JAN-19 11:19:06,210,I,2,142H1.D,142,528,H,142H1.D,142,538,H,11,1,11,RTG14,0,0,7,7,33,1,28.65,5
11510709,17-JAN-19 10:15:36,2019-01-17,10,17-JAN-19 11:02:43,230,I,2,330C2.D,330,360,C,330C2.D,330,370,C,11,1,15,RTG16,0,6,4,10,32,1,25.05,5
11510820,17-JAN-19 10:32:35,2019-01-17,11,17-JAN-19 12:52:11,288,J,2,306N4.B,306,442,N,306N4.A,306,452,N,100,3,4,RTG24,0,2,6,8,51,3,56.35714286,2
11510822,17-JAN-19 10:32:58,2019-01-17,11,17-JAN-19 13:07:39,157,I,2,451E3.B,451,166,E,451E9.D,451,176,E,80,3,13,RTG6,0,2,0,2,31,1,17.81818182,2
11511550,17-JAN-19 12:35:29,2019-01-17,13,17-JAN-19 13:22:25,376,I,2,430M3.C,430,406,M,430M7.E,430,416,M,11,1,6,RTG10,0,16,4,20,57,1,15.27272727,2
11510828,17-JAN-19 10:33:49,2019-01-17,11,17-JAN-19 11:43:25,257,I,2,257B1.A,257,460,B,257B1.A,257,470,B,34,2,16,RTG14,0,5,3,8,32,1,18.04545455,2
11510580,17-JAN-19 09:55:35,2019-01-17,10,17-JAN-19 10:44:13,352,K,2,260M8.C,260,552,M,260M8.A,260,562,M,12,1,4,RTG5,0,7,4,11,45,4,51.25,4
11511219,17-JAN-19 11:34:52,2019-01-17,12,17-JAN-19 12:35:39,406,L,2,272M7.D,272,594,M,272M6.D,272,604,M,12,1,3,RTG23,0,12,0,12,41,1,26.38461538,4
11511265,17-JAN-19 11:42:09,2019-01-17,12,17-JAN-19 12:48:48,67,L,2,105D4.A,105,422,D,105D4.B,105,432,D,12,1,11,RTG25,0,0,11,11,44,1,23.85714286,4
11512379,17-JAN-19 14:40:37,2019-01-17,15,17-JAN-19 16:00:29,356,J,2,242B7.B,242,574,B,242B7.C,242,584,B,12,1,15,RTG24,0,5,6,11,67,1,88.125,3
11512701,17-JAN-19 15:34:03,2019-01-17,16,17-JAN-19 17:00:25,427,J,2,129H6.A,129,758,H,129H5.A,129,768,H,12,1,10,RTG24,0,4,8,12,66,1,91.35714286,2
11509544,17-JAN-19 06:51:57,2019-01-17,7,17-JAN-19 07:49:09,126,L,2,226H6.D,226,360,H,226H6.B,226,370,H,13,1,8,RTG25,0,0,1,1,13,4,11.66666667,2
11510832,17-JAN-19 10:34:02,2019-01-17,11,17-JAN-19 11:30:43,284,L,2,430M5.D,430,314,M,430M8.D,430,324,M,11,1,3,RTG11,0,1,7,8,29,1,33.68421053,2
11510294,17-JAN-19 09:10:01,2019-01-17,9,17-JAN-19 10:12:02,264,I,2,260M5.B,260,464,M,260M5.A,260,474,M,13,1,6,RTG16,0,0,2,2,35,4,24.69230769,5
11510431,17-JAN-19 09:33:43,2019-01-17,10,17-JAN-19 10:04:49,325,L,2,149B5.A,149,636,B,149B6.D,149,646,B,13,1,13,RTG11,0,7,5,12,41,2,50.89473684,4
